Time,QR,Line,ESD
2021-12-29 09:28:02.929761+00:00,7352210450,Line1,"11,848834902048111"
2021-12-29 09:28:05.179930+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:28:07.322908+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:28:09.472140+00:00,7352210450,Line1,"11,848834902048111"
2021-12-29 09:28:11.606172+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:28:13.754072+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:28:15.911366+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:28:18.046973+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:28:20.194344+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:28:22.353604+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:28:24.528753+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:28:26.677222+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:28.827583+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:30.994747+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:28:33.157960+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:28:35.284897+00:00,7352210450,Line1,"13,313883896917122"
2021-12-29 09:28:40.667237+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:28:42.812262+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:44.952616+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:47.132361+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:28:49.258465+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:51.396173+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:28:53.520563+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:55.675939+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:28:57.846530+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:28:59.989044+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:29:02.142015+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:29:04.290512+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:29:06.433987+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:29:08.582200+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:29:10.721329+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:29:12.864572+00:00,7352210450,Line1,"8,70944419875741"
2021-12-29 09:29:15.041099+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:29:17.173484+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:29:19.330310+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:29:21.471292+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:29:23.621360+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:29:25.757338+00:00,7352210450,Line1,"12,686005756259"
2021-12-29 09:29:27.905675+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:29:30.040009+00:00,7352210450,Line1,"11,848834902048111"
2021-12-29 09:29:32.186067+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:29:34.333598+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:29:36.515650+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:29:38.656988+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:29:40.780485+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:29:42.919584+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:29:45.079403+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:29:47.241560+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:29:49.381782+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:29:51.536077+00:00,7352210450,Line1,"11,639542188495433"
2021-12-29 09:29:53.687649+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:29:55.851086+00:00,7352210450,Line1,"10,174493193626422"
2021-12-29 09:29:57.989004+00:00,7352210450,Line1,"10,593078620731866"
2021-12-29 09:30:00.141168+00:00,7352210450,Line1,"11,220956761389989"
2021-12-29 09:30:02.296239+00:00,7352210450,Line1,"11,848834902048111"
2021-12-29 09:30:04.457705+00:00,7352210450,Line1,"9,755907766520977"
2021-12-29 09:30:06.597854+00:00,7352210450,Line1,"11,639542188495433"
2021-12-29 09:30:08.755974+00:00,7352210450,Line1,"12,895298469811678"
2021-12-29 09:30:10.907628+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:30:13.065006+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:30:15.232672+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:30:17.417154+00:00,7352210450,Line1,"12,476713042706233"
2021-12-29 09:30:19.573475+00:00,7352210450,Line1,"12,267420329153556"
2021-12-29 09:30:21.752205+00:00,7352210450,Line1,"12,058127615600789"
2021-12-29 09:30:23.907293+00:00,7352210450,Line1,"11,848834902048111"
2021-12-29 09:30:26.073179+00:00,7352210450,Line1,"5,988638922572154"
2021-12-29 09:30:28.234113+00:00,7352210450,Line1,"9,755907766520977"
2021-12-29 09:30:30.393637+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:30:32.565982+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:30:34.732849+00:00,7352210450,Line1,"11,220956761389989"
2021-12-29 09:30:36.898380+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:30:39.052841+00:00,7352210450,Line1,"7,662980630993843"
2021-12-29 09:30:41.217975+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:30:43.398217+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:30:45.577480+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:30:47.745521+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:30:49.901232+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:30:52.063341+00:00,7352210450,Line1,"11,220956761389989"
2021-12-29 09:30:54.223893+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:30:56.354272+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:30:58.498397+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:31:00.667792+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:31:02.820963+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:31:04.975442+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:31:07.132015+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:31:09.294810+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:31:11.479854+00:00,7352210450,Line1,"7,662980630993843"
2021-12-29 09:31:13.656153+00:00,7352210450,Line1,"11,220956761389989"
2021-12-29 09:31:15.809186+00:00,7352210450,Line1,"11,220956761389989"
2021-12-29 09:31:17.973938+00:00,7352210450,Line1,"11,639542188495433"
2021-12-29 09:31:20.128795+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:31:22.289016+00:00,7352210450,Line1,"11,430249474942666"
2021-12-29 09:31:24.446124+00:00,7352210450,Line1,"11,011664047837222"
2021-12-29 09:31:26.587535+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:31:28.722078+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:31:30.864758+00:00,7352210450,Line1,"10,802371334284544"
2021-12-29 09:31:33.053343+00:00,7352210450,Line1,"9,5466150529683"
2021-12-29 09:31:35.217063+00:00,7352210450,Line1,"141,19173187762496"
2021-12-29 09:31:37.384586+00:00,7352210450,Line1,"19,592665303498524"
2021-12-29 09:31:39.542406+00:00,7352210450,Line1,"8,081566058099288"
2021-12-29 09:31:41.705552+00:00,7352210450,Line1,"8,70944419875741"
2021-12-29 09:31:43.862390+00:00,7352210450,Line1,"8,918736912310088"
2021-12-29 09:31:46.020576+00:00,7352210450,Line1,"8,918736912310088"
2021-12-29 09:31:48.183751+00:00,7352210450,Line1,"-9,289729166775906"
2021-12-29 09:31:50.333321+00:00,7352210450,Line1,"-56,38058971613642"
2021-12-29 09:31:52.501427+00:00,7352210450,Line1,"-75,84481207653883"
2021-12-29 09:31:54.660218+00:00,7352210450,Line1,"-167,72431332617995"
2021-12-29 09:31:56.842261+00:00,7352210450,Line1,"4,942175354808587"
2021-12-29 09:31:58.996346+00:00,7352210450,Line1,"8,290858771651965"
2021-12-29 09:32:01.170046+00:00,7352210450,Line1,"8,500151485204732"
